method,epoch,mean_source_val_macro_f1,classification_loss,alignment_loss,total_loss,domain_accuracy,val_photo_accuracy,val_photo_macro_f1,val_art_painting_accuracy,val_art_painting_macro_f1,val_cartoon_accuracy,val_cartoon_macro_f1
cdan,1,0.8990857090984453,0.5215236341150907,0.5198140693908064,1.041337701627332,0.7695869153254052,0.9461077844311377,0.9386764486562187,0.8439024390243902,0.8429032686935523,0.9104477611940298,0.9156774099455651
cdan,2,0.8472839220324363,0.21575790615831938,0.57084949582051,0.7866074017479888,0.707264978152055,0.8982035928143712,0.874940330361067,0.8536585365853658,0.8341418421303474,0.8272921108742004,0.8327695936058948
cdan,3,0.8955485443376995,0.19062840284950808,0.6786193903694805,0.8692477933871441,0.6081730990837781,0.9520958083832335,0.9435359534739142,0.8560975609756097,0.8475796548401757,0.8955223880597015,0.8955300246990082
cdan,4,0.8782988210341117,0.3673162373821609,0.7409548079356169,1.1082710458172693,0.6156517277416002,0.9311377245508982,0.9179575319263107,0.8097560975609757,0.8065822594431041,0.9019189765458422,0.9103566717329202
cdan,5,0.8169507191457499,0.8728714279161814,1.1178712573571083,1.9907426974202833,0.5670406163757683,0.8353293413173652,0.8069802464093075,0.7536585365853659,0.7375344976313559,0.8997867803837953,0.9063374133965862
cdan,6,0.9284908196441504,0.25983715827604675,0.7856668855389978,1.0455040440090702,0.6018518708709978,0.9580838323353293,0.9508998954613436,0.8951219512195122,0.9016284316172356,0.9232409381663113,0.9329441318538719
cdan,7,0.915981905062881,0.07405272034309311,0.6636615652813871,0.7377142857792031,0.6025641229417589,0.9640718562874252,0.9612552046086361,0.8536585365853658,0.8516659231434822,0.9317697228144989,0.9350245874365246
cdan,8,0.92221720048612,0.0736598484067782,0.6858496429064335,0.7595094916148063,0.5768340645182846,0.9520958083832335,0.9486088132301159,0.8878048780487805,0.8902576996872293,0.9232409381663113,0.9277850885410147
cdan,9,0.930020074536349,0.07526910799918905,0.6900953298959976,0.765364437785923,0.5646367707313635,0.9580838323353293,0.9534936314750141,0.8878048780487805,0.8800126433616111,0.9530916844349681,0.9565539487724222
cdan,10,0.9441051161660545,0.04472812726662519,0.693577503037249,0.7383056323752444,0.5449608448478911,0.9730538922155688,0.9686099510221696,0.9097560975609756,0.9106549680525763,0.9466950959488273,0.9530504294234178
cdan,11,0.921796146047876,0.0541075113906895,0.6878503461678823,0.7419578588416433,0.5619658319613873,0.9550898203592815,0.9474873937839391,0.8804878048780488,0.8816848015362595,0.9275053304904051,0.936216242823429
cdan,12,0.9390206240123158,0.05134241878252,0.6888197803089762,0.7401621993790325,0.5461182530619141,0.9550898203592815,0.9476079360646679,0.9121951219512195,0.9151686409567417,0.9488272921108742,0.9542852950155376
cdan,13,0.9281260904117133,0.047483753510099105,0.6907159495048034,0.7381997021854433,0.559383921770968,0.9610778443113772,0.9543771168446963,0.8878048780487805,0.8853922292779698,0.9402985074626866,0.944608925112474
cdan,14,0.8956808815284685,0.0379296072340631,0.6887172633766109,0.7266468696105175,0.5663283669795746,0.9311377245508982,0.9207034213327976,0.8585365853658536,0.8536486170742534,0.9125799573560768,0.9126906061783543
cdan,15,0.9201824111003427,0.06903038573699842,0.6965487324274503,0.7655791189426031,0.540865401426951,0.9431137724550899,0.9336288360560329,0.8902439024390244,0.893045156387446,0.9253731343283582,0.9338732408575494
