method,class_name,target_class_accuracy,change_vs_source_only,dominant_incorrect_prediction,class_count
source_only,dog,0.2927461139896373,0.0,elephant,772
source_only,elephant,0.9216216216216216,0.0,person,740
source_only,giraffe,0.3240371845949535,0.0,person,753
source_only,guitar,0.8980263157894737,0.0,elephant,608
source_only,horse,0.6862745098039216,0.0,person,816
source_only,house,0.8625,0.0,elephant,80
source_only,person,0.95625,0.0,elephant,160
dan,dog,0.0,-0.2927461139896373,elephant,772
dan,elephant,0.8783783783783784,-0.043243243243243246,house,740
dan,giraffe,0.0,-0.3240371845949535,elephant,753
dan,guitar,0.0,-0.8980263157894737,house,608
dan,horse,0.0,-0.6862745098039216,elephant,816
dan,house,0.0,-0.8625,elephant,80
dan,person,0.0,-0.95625,elephant,160
dann,dog,0.0,-0.2927461139896373,elephant,772
dann,elephant,1.0,0.07837837837837835,none,740
dann,giraffe,0.0,-0.3240371845949535,elephant,753
dann,guitar,0.0,-0.8980263157894737,elephant,608
dann,horse,0.0,-0.6862745098039216,elephant,816
dann,house,0.0,-0.8625,elephant,80
dann,person,0.0,-0.95625,elephant,160
cdan,dog,0.7992227979274611,0.5064766839378239,elephant,772
cdan,elephant,0.8202702702702702,-0.10135135135135143,dog,740
cdan,giraffe,0.4820717131474104,0.15803452855245687,dog,753
cdan,guitar,0.8601973684210527,-0.03782894736842102,person,608
cdan,horse,0.7708333333333334,0.0845588235294118,dog,816
cdan,house,0.9625,0.09999999999999998,person,80
cdan,person,1.0,0.043749999999999956,none,160
