method,class_name,sketch_class_accuracy,change_vs_erm,dominant_incorrect_prediction,class_count
erm,dog,0.2927461139896373,0.0,elephant,772
erm,elephant,0.9216216216216216,0.0,person,740
erm,giraffe,0.3240371845949535,0.0,person,753
erm,guitar,0.8980263157894737,0.0,elephant,608
erm,horse,0.6862745098039216,0.0,person,816
erm,house,0.8625,0.0,elephant,80
erm,person,0.95625,0.0,elephant,160
dan_dg,dog,0.0,-0.2927461139896373,person,772
dan_dg,elephant,0.0,-0.9216216216216216,person,740
dan_dg,giraffe,0.0,-0.3240371845949535,person,753
dan_dg,guitar,0.0,-0.8980263157894737,person,608
dan_dg,horse,0.0,-0.6862745098039216,person,816
dan_dg,house,0.0,-0.8625,person,80
dan_dg,person,1.0,0.043749999999999956,none,160
sam,dog,0.5634715025906736,0.2707253886010363,elephant,772
sam,elephant,0.8540540540540541,-0.06756756756756754,dog,740
sam,giraffe,0.7065073041168659,0.3824701195219124,horse,753
sam,guitar,0.9671052631578947,0.06907894736842102,elephant,608
sam,horse,0.8051470588235294,0.11887254901960786,dog,816
sam,house,0.8625,0.0,elephant,80
sam,person,0.8875,-0.06875000000000009,elephant,160
sam_rho_0p01,dog,0.344559585492228,0.05181347150259069,elephant,772
sam_rho_0p01,elephant,0.9418918918918919,0.020270270270270285,dog,740
sam_rho_0p01,giraffe,0.7768924302788844,0.45285524568393093,elephant,753
sam_rho_0p01,guitar,0.9342105263157895,0.03618421052631582,elephant,608
sam_rho_0p01,horse,0.5575980392156863,-0.12867647058823528,elephant,816
sam_rho_0p01,house,0.5125,-0.3500000000000001,elephant,80
sam_rho_0p01,person,0.4625,-0.49375,elephant,160
sam_rho_0p1,dog,0.43134715025906734,0.13860103626943004,elephant,772
sam_rho_0p1,elephant,0.8851351351351351,-0.03648648648648656,dog,740
sam_rho_0p1,giraffe,0.35856573705179284,0.034528552456839334,person,753
sam_rho_0p1,guitar,0.9391447368421053,0.04111842105263164,elephant,608
sam_rho_0p1,horse,0.5612745098039216,-0.125,dog,816
sam_rho_0p1,house,0.7625,-0.10000000000000009,elephant,80
sam_rho_0p1,person,0.85625,-0.10000000000000009,elephant,160
