model,condition,accuracy,macro_f1,mean_max_confidence,prediction_consistency,accuracy_delta_vs_clean
resnet50,clean,0.972,0.9719540716958293,0.9069608449935913,,0.0
resnet50,grayscale,0.956,0.9559337566409702,0.9066198468208313,0.972000002861023,-0.016000000000000014
resnet50,hue_rotation,0.932,0.9318450083904019,0.8959524035453796,0.9419999718666077,-0.039999999999999925
resnet50,patch_shuffle,0.886,0.8862503373803212,0.8689143061637878,0.906000018119812,-0.08599999999999997
vit_b16,clean,0.974,0.9739542648492054,0.9373358488082886,,0.0
vit_b16,grayscale,0.96,0.9599381140314278,0.9262257218360901,0.9559999704360962,-0.014000000000000012
vit_b16,hue_rotation,0.944,0.9439969873020239,0.8991174101829529,0.9520000219345093,-0.030000000000000027
vit_b16,patch_shuffle,0.894,0.8943217187128962,0.8374332189559937,0.8999999761581421,-0.07999999999999996
clip_vit_b32,clean,0.972,0.9719576057827315,0.1546180695295334,,0.0
clip_vit_b32,grayscale,0.96,0.9599138396376773,0.14852948486804962,0.9599999785423279,-0.01200000000000001
clip_vit_b32,hue_rotation,0.944,0.9436760591107655,0.14504702389240265,0.9520000219345093,-0.028000000000000025
clip_vit_b32,patch_shuffle,0.782,0.7794680854719324,0.12804366648197174,0.7940000295639038,-0.18999999999999995
clip_zeroshot,clean,0.964,0.963516560124015,0.941389262676239,,0.0
clip_zeroshot,grayscale,0.94,0.9392912063263165,0.925653874874115,0.949999988079071,-0.02400000000000002
clip_zeroshot,hue_rotation,0.932,0.9306812365254394,0.9130688309669495,0.9440000057220459,-0.03199999999999992
clip_zeroshot,patch_shuffle,0.766,0.7676573054823466,0.7567851543426514,0.777999997138977,-0.19799999999999995
