conflict_id,pair_id,content_class,content_label,style_class,style_label,content_official_index,style_official_index,path,pixel_std,clipped_fraction,rejection_reason,prebalance_valid
p0_airplane_shape__bird_texture_00,0,airplane,0,bird,1,1648,5092,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_00.png,0.22455354034900665,0.06004198640584946,,True
p0_airplane_shape__bird_texture_01,0,airplane,0,bird,1,2242,7202,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_01.png,0.20171621441841125,0.0,,True
p0_airplane_shape__bird_texture_02,0,airplane,0,bird,1,5478,2070,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_02.png,0.2096436470746994,0.026074882596731186,,True
p0_airplane_shape__bird_texture_03,0,airplane,0,bird,1,6455,1568,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_03.png,0.2084895521402359,0.0020461310632526875,,True
p0_airplane_shape__bird_texture_04,0,airplane,0,bird,1,7309,3491,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_04.png,0.22495964169502258,0.0042317709885537624,,True
p0_airplane_shape__bird_texture_05,0,airplane,0,bird,1,7634,7029,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_05.png,0.18499791622161865,0.0022919324692338705,,True
p0_airplane_shape__bird_texture_06,0,airplane,0,bird,1,2024,6169,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_06.png,0.28244489431381226,0.007613201625645161,,True
p0_airplane_shape__bird_texture_07,0,airplane,0,bird,1,3083,5488,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_07.png,0.24491293728351593,0.003733524587005377,,True
p0_airplane_shape__bird_texture_08,0,airplane,0,bird,1,4130,4298,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_08.png,0.23118063807487488,0.009553040377795696,,True
p0_airplane_shape__bird_texture_09,0,airplane,0,bird,1,4615,2690,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_09.png,0.20191937685012817,0.01611660234630108,,True
p0_airplane_shape__bird_texture_10,0,airplane,0,bird,1,5918,2178,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_10.png,0.18053825199604034,0.0022720026317983866,,True
p0_airplane_shape__bird_texture_11,0,airplane,0,bird,1,5117,6076,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_11.png,0.1940283477306366,0.0023185054305940866,,True
p0_airplane_shape__bird_texture_12,0,airplane,0,bird,1,7320,6805,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_12.png,0.14925238490104675,0.00025244473363272846,,True
p0_airplane_shape__bird_texture_13,0,airplane,0,bird,1,1596,1986,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_13.png,0.20625866949558258,0.018122874200344086,,True
p0_airplane_shape__bird_texture_14,0,airplane,0,bird,1,7009,95,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_14.png,0.2286216765642166,0.0,,True
p0_airplane_shape__bird_texture_15,0,airplane,0,bird,1,484,1436,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_15.png,0.23399172723293304,0.01590401865541935,,True
p0_airplane_shape__bird_texture_16,0,airplane,0,bird,1,6437,825,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_16.png,0.13011370599269867,0.0006975446594879031,,True
p0_airplane_shape__bird_texture_17,0,airplane,0,bird,1,1389,1090,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_17.png,0.27987906336784363,0.01329985074698925,,True
p0_airplane_shape__bird_texture_18,0,airplane,0,bird,1,1553,2095,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_18.png,0.22050924599170685,2.6573128707241267e-05,,True
p0_airplane_shape__bird_texture_19,0,airplane,0,bird,1,4819,304,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_19.png,0.10834582149982452,0.0,,True
p0_airplane_shape__bird_texture_20,0,airplane,0,bird,1,7373,4640,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_20.png,0.24215883016586304,0.0044908588752150536,,True
p0_airplane_shape__bird_texture_21,0,airplane,0,bird,1,4399,5123,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_21.png,0.2581992447376251,0.0739862322807312,,True
p0_airplane_shape__bird_texture_22,0,airplane,0,bird,1,6844,261,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_22.png,0.18042252957820892,0.03815237060189247,,True
p0_airplane_shape__bird_texture_23,0,airplane,0,bird,1,4675,6954,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_23.png,0.15139105916023254,0.019106080755591393,,True
p0_airplane_shape__bird_texture_24,0,airplane,0,bird,1,2888,6594,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_24.png,0.2332278937101364,0.02511160634458065,,True
p0_airplane_shape__bird_texture_25,0,airplane,0,bird,1,3455,3079,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_25.png,0.23423545062541962,0.007068452425301075,,True
p0_airplane_shape__bird_texture_26,0,airplane,0,bird,1,3876,198,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_26.png,0.2585926055908203,0.0350167416036129,,True
p0_airplane_shape__bird_texture_27,0,airplane,0,bird,1,7262,3550,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_27.png,0.12473715841770172,0.0,,True
p0_airplane_shape__bird_texture_28,0,airplane,0,bird,1,3,2157,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_28.png,0.24991467595100403,0.017843855544924736,,True
p0_airplane_shape__bird_texture_29,0,airplane,0,bird,1,5999,2687,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_airplane_shape__bird_texture_29.png,0.2151094675064087,0.004756590351462364,,True
p0_bird_shape__airplane_texture_00,0,bird,1,airplane,0,7390,5117,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_00.png,0.24380870163440704,0.0026705993805080652,,True
p0_bird_shape__airplane_texture_01,0,bird,1,airplane,0,7029,4399,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_01.png,0.2101016789674759,0.0007440476329065859,,True
p0_bird_shape__airplane_texture_02,0,bird,1,airplane,0,6805,7009,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_02.png,0.17620961368083954,0.006390837486833334,,True
p0_bird_shape__airplane_texture_03,0,bird,1,airplane,0,7955,81,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_03.png,0.2532384693622589,0.004357993137091398,,True
p0_bird_shape__airplane_texture_04,0,bird,1,airplane,0,261,3347,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_04.png,0.17108438909053802,0.003354857675731182,,True
p0_bird_shape__airplane_texture_05,0,bird,1,airplane,0,7033,6609,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_05.png,0.1501644253730774,0.0007905506063252687,,True
p0_bird_shape__airplane_texture_06,0,bird,1,airplane,0,1993,7373,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_06.png,0.23341909050941467,0.009107939898967743,,True
p0_bird_shape__airplane_texture_07,0,bird,1,airplane,0,1090,1389,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_07.png,0.257032185792923,0.01839524880051613,,True
p0_bird_shape__airplane_texture_08,0,bird,1,airplane,0,1852,3,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_08.png,0.15822193026542664,0.00021258502965793014,,True
p0_bird_shape__airplane_texture_09,0,bird,1,airplane,0,2116,4615,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_09.png,0.1794026494026184,0.0005978954141028225,,True
p0_bird_shape__airplane_texture_10,0,bird,1,airplane,0,6076,4893,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_10.png,0.12386402487754822,0.0,,True
p0_bird_shape__airplane_texture_11,0,bird,1,airplane,0,5560,2024,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_11.png,0.193242609500885,0.002484587486833334,,True
p0_bird_shape__airplane_texture_12,0,bird,1,airplane,0,5488,5999,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_12.png,0.15457351505756378,0.09564998000860214,,True
p0_bird_shape__airplane_texture_13,0,bird,1,airplane,0,6836,4617,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_13.png,0.12687236070632935,0.0,,True
p0_bird_shape__airplane_texture_14,0,bird,1,airplane,0,3079,6437,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_14.png,0.10843294113874435,6.643282176810317e-06,,True
p0_bird_shape__airplane_texture_15,0,bird,1,airplane,0,6349,1596,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_15.png,0.16804887354373932,0.0,,True
p0_bird_shape__airplane_texture_16,0,bird,1,airplane,0,3937,6844,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_16.png,0.11365719139575958,0.0,,True
p0_bird_shape__airplane_texture_17,0,bird,1,airplane,0,1436,7465,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_17.png,0.19516301155090332,0.0,,True
p0_bird_shape__airplane_texture_18,0,bird,1,airplane,0,3491,5478,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_18.png,0.18156187236309052,0.004730016924440861,,True
p0_bird_shape__airplane_texture_19,0,bird,1,airplane,0,6169,6455,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_19.png,0.25023648142814636,0.014442496001720428,,True
p0_bird_shape__airplane_texture_20,0,bird,1,airplane,0,2070,4130,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_20.png,0.21636053919792175,0.0,,True
p0_bird_shape__airplane_texture_21,0,bird,1,airplane,0,825,4675,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_21.png,0.1565079689025879,0.0,,True
p0_bird_shape__airplane_texture_22,0,bird,1,airplane,0,1230,5912,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_22.png,0.23147253692150116,0.00011293579882476479,,True
p0_bird_shape__airplane_texture_23,0,bird,1,airplane,0,198,7320,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_23.png,0.2606838047504425,0.009446747601032257,,True
p0_bird_shape__airplane_texture_24,0,bird,1,airplane,0,5123,2242,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_24.png,0.2062496691942215,0.0003388074110262096,,True
p0_bird_shape__airplane_texture_25,0,bird,1,airplane,0,3413,3083,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_25.png,0.15668797492980957,0.0002325148816453293,,True
p0_bird_shape__airplane_texture_26,0,bird,1,airplane,0,1115,7150,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_26.png,0.17156600952148438,5.9789541410282254e-05,,True
p0_bird_shape__airplane_texture_27,0,bird,1,airplane,0,7202,42,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_27.png,0.2060752511024475,0.0,,True
p0_bird_shape__airplane_texture_28,0,bird,1,airplane,0,2157,1175,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_28.png,0.17130953073501587,0.0,,True
p0_bird_shape__airplane_texture_29,0,bird,1,airplane,0,1986,3025,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p0_bird_shape__airplane_texture_29.png,0.27859631180763245,0.013319781050086021,,True
p1_car_shape__truck_texture_00,1,car,2,truck,9,6692,5788,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_00.png,0.31123965978622437,0.10665789991617203,,True
p1_car_shape__truck_texture_01,1,car,2,truck,9,1403,7266,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_01.png,0.19080793857574463,0.00013286565081216395,,True
p1_car_shape__truck_texture_02,1,car,2,truck,9,5395,7938,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_02.png,0.2619916498661041,0.0949590802192688,,True
p1_car_shape__truck_texture_03,1,car,2,truck,9,4065,1411,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_03.png,0.32168877124786377,0.06224091351032257,,True
p1_car_shape__truck_texture_04,1,car,2,truck,9,409,2062,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_04.png,0.3268314003944397,0.0411086305975914,,True
p1_car_shape__truck_texture_05,1,car,2,truck,9,4921,852,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_05.png,0.2905551791191101,0.0571986623108387,,True
p1_car_shape__truck_texture_06,1,car,2,truck,9,4735,3942,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_06.png,0.2271168828010559,0.0012755101779475808,,True
p1_car_shape__truck_texture_07,1,car,2,truck,9,5237,1515,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_07.png,0.19552810490131378,0.01449564192444086,,True
p1_car_shape__truck_texture_08,1,car,2,truck,9,3024,805,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_08.png,0.24234463274478912,0.0019132653251290321,,True
p1_car_shape__truck_texture_09,1,car,2,truck,9,2082,4094,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_09.png,0.23253782093524933,0.01298761647194624,,True
p1_car_shape__truck_texture_10,1,car,2,truck,9,7084,3893,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_10.png,0.2800472378730774,0.0948195680975914,,True
p1_car_shape__truck_texture_11,1,car,2,truck,9,317,5452,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_11.png,0.2367234081029892,0.00032552084303461015,,True
p1_car_shape__truck_texture_12,1,car,2,truck,9,6616,3996,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_12.png,0.24287906289100647,0.1391834020614624,,True
p1_car_shape__truck_texture_13,1,car,2,truck,9,5030,1468,/kaggle/working/beyond-iid/inductive-bias-representations/data/generated/cue_conflicts/p1_car_shape__truck_texture_13.png,0.25262337923049927,0.008177880197763443,,True
