backbone,intervention,mean_cosine_stability,std,n_pairs
resnet50,grayscale,0.8013675212860107,0.09452559053897858,500
resnet50,patch_shuffle,0.6954206824302673,0.07122386991977692,500
resnet50,translation_32px_four_direction_mean,0.930285632610321,0.0423441007733345,2000
resnet50,cue_conflict,0.4133029282093048,0.2027328908443451,300
vit_b16,grayscale,0.7313510775566101,0.1314830780029297,500
vit_b16,patch_shuffle,0.6257790923118591,0.12455596029758453,500
vit_b16,translation_32px_four_direction_mean,0.9426226019859314,0.047031160444021225,2000
vit_b16,cue_conflict,0.41714826226234436,0.2270209789276123,300
clip_vit_b32,grayscale,0.8873979449272156,0.043516725301742554,500
clip_vit_b32,patch_shuffle,0.7474545240402222,0.058021582663059235,500
clip_vit_b32,translation_32px_four_direction_mean,0.9664090871810913,0.022913141176104546,2000
clip_vit_b32,cue_conflict,0.7634181380271912,0.09087707847356796,300
