model,delta,direction,accuracy,consistency
resnet50,0,identity,0.972,1.0
resnet50,8,left,0.974,0.9940000176429749
resnet50,8,right,0.968,0.9919999837875366
resnet50,8,up,0.966,0.9919999837875366
resnet50,8,down,0.97,0.9959999918937683
resnet50,16,left,0.962,0.9879999756813049
resnet50,16,right,0.966,0.9860000014305115
resnet50,16,up,0.968,0.9919999837875366
resnet50,16,down,0.964,0.9900000095367432
resnet50,32,left,0.966,0.9800000190734863
resnet50,32,right,0.958,0.9819999933242798
resnet50,32,up,0.97,0.9879999756813049
resnet50,32,down,0.966,0.9940000176429749
vit_b16,0,identity,0.974,1.0
vit_b16,8,left,0.972,0.9739999771118164
vit_b16,8,right,0.974,0.9800000190734863
vit_b16,8,up,0.98,0.9819999933242798
vit_b16,8,down,0.978,0.9800000190734863
vit_b16,16,left,0.972,0.9819999933242798
vit_b16,16,right,0.97,0.9800000190734863
vit_b16,16,up,0.976,0.9919999837875366
vit_b16,16,down,0.978,0.9900000095367432
vit_b16,32,left,0.96,0.9800000190734863
vit_b16,32,right,0.96,0.9739999771118164
vit_b16,32,up,0.966,0.984000027179718
vit_b16,32,down,0.964,0.9760000109672546
clip_vit_b32,0,identity,0.972,1.0
clip_vit_b32,8,left,0.976,0.9900000095367432
clip_vit_b32,8,right,0.974,0.9900000095367432
clip_vit_b32,8,up,0.976,0.9819999933242798
clip_vit_b32,8,down,0.976,0.9879999756813049
clip_vit_b32,16,left,0.966,0.9819999933242798
clip_vit_b32,16,right,0.976,0.9760000109672546
clip_vit_b32,16,up,0.974,0.9819999933242798
clip_vit_b32,16,down,0.98,0.9800000190734863
clip_vit_b32,32,left,0.962,0.9739999771118164
clip_vit_b32,32,right,0.968,0.9760000109672546
clip_vit_b32,32,up,0.97,0.9819999933242798
clip_vit_b32,32,down,0.968,0.984000027179718
clip_zeroshot,0,identity,0.964,1.0
clip_zeroshot,8,left,0.962,0.9760000109672546
clip_zeroshot,8,right,0.96,0.9779999852180481
clip_zeroshot,8,up,0.968,0.9660000205039978
clip_zeroshot,8,down,0.974,0.9800000190734863
clip_zeroshot,16,left,0.966,0.9779999852180481
clip_zeroshot,16,right,0.972,0.9779999852180481
clip_zeroshot,16,up,0.964,0.9739999771118164
clip_zeroshot,16,down,0.966,0.9760000109672546
clip_zeroshot,32,left,0.95,0.9660000205039978
clip_zeroshot,32,right,0.956,0.9700000286102295
clip_zeroshot,32,up,0.952,0.9679999947547913
clip_zeroshot,32,down,0.952,0.9819999933242798
