model,delta,accuracy,consistency
clip_vit_b32,0,0.972,1.0
clip_vit_b32,8,0.9755,0.9874999970197678
clip_vit_b32,16,0.974,0.9800000041723251
clip_vit_b32,32,0.967,0.9790000021457672
clip_zeroshot,0,0.964,1.0
clip_zeroshot,8,0.966,0.9750000089406967
clip_zeroshot,16,0.967,0.9764999896287918
clip_zeroshot,32,0.9524999999999999,0.9715000092983246
resnet50,0,0.972,1.0
resnet50,8,0.9695,0.9934999942779541
resnet50,16,0.965,0.988999992609024
resnet50,32,0.965,0.9860000014305115
vit_b16,0,0.974,1.0
vit_b16,8,0.976,0.9790000021457672
vit_b16,16,0.974,0.9860000014305115
vit_b16,32,0.9624999999999999,0.9785000085830688
