method,epoch,learning_rate,train_accuracy,validation_accuracy,train_loss,known_ce,classifier_boundary_loss,data_placeholder_loss,mean_mix_lambda,different_class_pairs
proser,1,0.001,0.9996222222222222,0.9488,0.5863338238136335,0.08118366987136225,0.20268064480147918,3.024695058099248,0.4996301186355678,1.0
proser,2,0.0009990133642141358,0.9999555555555556,0.952,0.32534539741887286,0.10616894904524088,0.017268353686879644,2.0190809152343054,0.5011249990625815,1.0
proser,3,0.000996057350657239,0.9997777777777778,0.948,0.3043718436224894,0.10254797726784917,0.013614704319148917,1.8820915963839402,0.5015290669080886,1.0
proser,4,0.0009911436253643444,0.9995111111111111,0.9364,0.2771031688898802,0.10297884555025534,0.01468716957341795,1.5943715013563633,0.4989462136714296,1.0
proser,5,0.0009842915805643156,0.9994444444444445,0.9262,0.1995402144860815,0.08797225138087841,0.018906079618979922,0.9266188181936741,0.5014841605655171,1.0
proser,6,0.0009755282581475769,0.9993777777777778,0.9368,0.10265922172799367,0.05185311130480841,0.020348092234185475,0.3045801760586487,0.5003370928832076,1.0
proser,7,0.0009648882429441258,0.9993333333333333,0.9388,0.06923871144483035,0.03635578586413017,0.017664446207080884,0.15218478815884076,0.5002720482139424,1.0
proser,8,0.0009524135262330099,0.9995777777777778,0.9342,0.05628618833989921,0.029822219456863506,0.014927568305707113,0.11536400115371427,0.4999145276167176,1.0
proser,9,0.0009381533400219318,0.9997111111111111,0.935,0.04720687435474247,0.025288213871218348,0.01360529541852884,0.08313364949373697,0.4999255510047078,1.0
proser,10,0.0009221639627510075,0.9996666666666667,0.9394,0.04153776734495874,0.022268206748942084,0.012060230933870613,0.07209329688074914,0.5002986080097881,1.0
proser,11,0.0009045084971874736,0.9997777777777778,0.9384,0.03954299598593603,0.021219330685033292,0.011379238605679182,0.06944426738614724,0.5016269987787713,1.0
proser,12,0.0008852566213878945,0.9997555555555555,0.942,0.03499986828220161,0.01897150003192523,0.010326771875208413,0.05701596199915829,0.4995660894465717,1.0
proser,13,0.0008644843137107056,0.9997555555555555,0.9382,0.031963215024337514,0.01716058092345272,0.009369497836980207,0.05433136195113713,0.501640327105468,1.0
proser,14,0.0008422735529643443,0.9998222222222222,0.94,0.03114758713424883,0.017248705934352158,0.009168710574158467,0.0473017059054903,0.5002534244717523,1.0
proser,15,0.0008187119948743448,0.9997333333333334,0.9376,0.02883480732932433,0.015767924568287774,0.008635975391371176,0.044309072926725174,0.5001574360172857,1.0
proser,16,0.0007938926261462366,0.9997555555555555,0.9342,0.026977787812938914,0.01480715817491397,0.00831752594570968,0.038531036661218175,0.5006971289827065,1.0
proser,17,0.0007679133974894982,0.9998,0.9412,0.0275901280190076,0.015668425120979504,0.008330595575071957,0.03591107324675911,0.49906563835049217,1.0
proser,18,0.0007408768370508576,0.9996888888888888,0.9378,0.024748263735091314,0.013485455451617863,0.007834022274023895,0.03428785896076905,0.5005897374993021,1.0
proser,19,0.0007128896457825362,0.9997555555555555,0.9432,0.022526011953066864,0.012336437362881208,0.0069922255709322844,0.03197348894636062,0.5012035933746533,1.0
proser,20,0.0006840622763423389,0.9998444444444444,0.9408,0.021735063105800444,0.01177426059836183,0.006904609090600967,0.030561933701392263,0.5002332310276952,1.0
proser,21,0.0006545084971874735,0.9998222222222222,0.9424,0.02341068109539761,0.01316258148224072,0.007298529356458775,0.029495702003425158,0.500745825977488,1.0
