method,epoch,learning_rate,train_loss,train_accuracy,validation_accuracy,known_ce,classifier_boundary_loss,data_placeholder_loss,mean_mix_lambda,different_class_pairs
vanilla,1,0.1,2.0313825198491413,0.27186666666666665,0.402,,,,,
vanilla,2,0.09997532801828658,1.4290636978785196,0.4728888888888889,0.541,,,,,
vanilla,3,0.09990133642141358,1.1236826921039158,0.5965333333333334,0.549,,,,,
vanilla,4,0.099778098230154,0.8995918195830451,0.6808666666666666,0.6962,,,,,
vanilla,5,0.0996057350657239,0.7440434177928501,0.7390666666666666,0.75,,,,,
vanilla,6,0.09938441702975688,0.6488989082018535,0.7752888888888889,0.6996,,,,,
vanilla,7,0.09911436253643444,0.5814157459047106,0.7996222222222222,0.7314,,,,,
vanilla,8,0.09879583809693737,0.5459445137447781,0.8139111111111111,0.776,,,,,
vanilla,9,0.09842915805643156,0.51375357893308,0.8228,0.7794,,,,,
vanilla,10,0.09801468428384716,0.4950409096452925,0.8298444444444445,0.7976,,,,,
vanilla,11,0.09755282581475769,0.4744951686435276,0.837,0.797,,,,,
vanilla,12,0.09704403844771128,0.46092519541846383,0.8426888888888889,0.7642,,,,,
vanilla,13,0.09648882429441258,0.44454465805159676,0.8475777777777778,0.8094,,,,,
vanilla,14,0.09588773128419906,0.43132466313574047,0.8518666666666667,0.823,,,,,
vanilla,15,0.09524135262330098,0.41995042212804157,0.8542444444444445,0.821,,,,,
vanilla,16,0.0945503262094184,0.4090244929207696,0.8606888888888888,0.8066,,,,,
vanilla,17,0.09381533400219319,0.3954314272403717,0.8653111111111111,0.8276,,,,,
vanilla,18,0.0930371013501972,0.38357928137249414,0.8681555555555556,0.8016,,,,,
vanilla,19,0.09221639627510078,0.3806224793116252,0.8696222222222222,0.8118,,,,,
vanilla,20,0.09135402871372812,0.37016594336827596,0.8737333333333334,0.8174,,,,,
vanilla,21,0.09045084971874741,0.36558034557766383,0.8746444444444444,0.8512,,,,,
vanilla,22,0.08950775061878455,0.36141779568725163,0.8772,0.8008,,,,,
vanilla,23,0.0885256621387895,0.3508566476451026,0.8802,0.8316,,,,,
vanilla,24,0.08750555348152302,0.3489801252471076,0.8791111111111111,0.7938,,,,,
vanilla,25,0.08644843137107061,0.34133692684703404,0.8829555555555556,0.8368,,,,,
vanilla,26,0.0853553390593274,0.34224132686191133,0.8835333333333333,0.8516,,,,,
vanilla,27,0.08422735529643446,0.32396833629078337,0.8899111111111111,0.8328,,,,,
vanilla,28,0.08306559326618262,0.32633828638924495,0.8874444444444445,0.8574,,,,,
vanilla,29,0.08187119948743452,0.3164526242547565,0.8920444444444444,0.8498,,,,,
vanilla,30,0.08064535268264886,0.3193089802000258,0.8917111111111111,0.8616,,,,,
vanilla,31,0.0793892626146237,0.3055140869882372,0.8953777777777778,0.859,,,,,
vanilla,32,0.07810416889260657,0.299773801085684,0.8979333333333334,0.8536,,,,,
vanilla,33,0.07679133974894986,0.299945028840171,0.8987111111111111,0.8246,,,,,
vanilla,34,0.0754520707875186,0.2891936322318183,0.9017333333333334,0.8544,,,,,
vanilla,35,0.0740876837050858,0.2898503158781264,0.9015333333333333,0.842,,,,,
vanilla,36,0.07269952498697738,0.2850118891980913,0.9022666666666667,0.87,,,,,
vanilla,37,0.07128896457825366,0.28130562053256564,0.9045777777777778,0.8568,,,,,
vanilla,38,0.06985739453173906,0.26896844775941636,0.9079333333333334,0.8276,,,,,
vanilla,39,0.06840622763423394,0.264879817671246,0.9085333333333333,0.8574,,,,,
vanilla,40,0.06693689601226462,0.26282066895167033,0.9097333333333333,0.856,,,,,
vanilla,41,0.06545084971874741,0.2618914012802972,0.9092222222222223,0.871,,,,,
vanilla,42,0.06394955530196152,0.2513027287801107,0.9152666666666667,0.8332,,,,,
vanilla,43,0.062434494358242776,0.24362659979396395,0.9162444444444444,0.8604,,,,,
vanilla,44,0.06090716206982718,0.2401392546362347,0.9178666666666667,0.8644,,,,,
vanilla,45,0.05936906572928628,0.23061627042558458,0.9215111111111111,0.8852,,,,,
vanilla,46,0.05782172325201159,0.23380402958922916,0.9210666666666667,0.868,,,,,
vanilla,47,0.056266661678215264,0.22756578200658162,0.9214222222222223,0.8626,,,,,
vanilla,48,0.05470541566592575,0.22169303352832795,0.9241777777777778,0.902,,,,,
vanilla,49,0.053139525976465714,0.2133729674524731,0.9274444444444444,0.8782,,,,,
vanilla,50,0.05157053795390645,0.212770083310869,0.9260222222222222,0.8702,,,,,
vanilla,51,0.05000000000000004,0.20020156651205487,0.9318222222222222,0.9086,,,,,
vanilla,52,0.04842946204609362,0.19466389366255865,0.9324444444444444,0.8966,,,,,
vanilla,53,0.04686047402353437,0.18460402677588994,0.9372888888888888,0.8916,,,,,
vanilla,54,0.045294584334074316,0.18293842911190455,0.9370888888888889,0.8976,,,,,
vanilla,55,0.043733338321784825,0.17393843755192226,0.9405333333333333,0.902,,,,,
vanilla,56,0.042178276747988484,0.17275604087246788,0.9406,0.9002,,,,,
vanilla,57,0.0406309342707138,0.16485572021007538,0.9439111111111111,0.8756,,,,,
vanilla,58,0.039092837930172916,0.15939944251908197,0.9453777777777778,0.8784,,,,,
vanilla,59,0.037565505641757285,0.15239233107964198,0.9477555555555556,0.8996,,,,,
vanilla,60,0.03605044469803857,0.14551650226248636,0.9508444444444445,0.901,,,,,
vanilla,61,0.034549150281252675,0.14058865192333858,0.9517333333333333,0.898,,,,,
vanilla,62,0.03306310398773546,0.1348461624039544,0.9538888888888889,0.9132,,,,,
vanilla,63,0.031593772365766146,0.12898122647603352,0.9563111111111111,0.911,,,,,
vanilla,64,0.030142605468260992,0.12408235629399618,0.9582222222222222,0.9144,,,,,
vanilla,65,0.028711035421746394,0.11433233598073324,0.9602444444444445,0.9108,,,,,
vanilla,66,0.027300475013022688,0.10984452781677247,0.9624,0.9042,,,,,
vanilla,67,0.025912316294914254,0.0963979845099979,0.9680888888888889,0.9186,,,,,
vanilla,68,0.02454792921248146,0.0892640630165736,0.9694666666666667,0.917,,,,,
vanilla,69,0.02320866025105018,0.0843786735455195,0.9712666666666666,0.9146,,,,,
vanilla,70,0.021895831107393487,0.0822903321792682,0.9714666666666667,0.9256,,,,,
vanilla,71,0.02061073738537637,0.06856275213824378,0.9773333333333334,0.9188,,,,,
vanilla,72,0.01935464731735119,0.06868668462965223,0.9771111111111112,0.9238,,,,,
vanilla,73,0.018128800512565532,0.06028456320795748,0.9796,0.9314,,,,,
vanilla,74,0.016934406733817433,0.05507072322699759,0.9818666666666667,0.9362,,,,,
vanilla,75,0.01577264470356558,0.04682661581436793,0.9841555555555556,0.9306,,,,,
