method,group,unknown_class,acceptance_rate,dominant_known_prediction,dominant_prediction_share
Vanilla,near,bus,0.85,truck,0.788235294117647
Vanilla,near,camel,0.57,horse,0.3157894736842105
Vanilla,near,fox,0.76,deer,0.39473684210526316
Vanilla,near,leopard,0.71,frog,0.43661971830985913
Vanilla,near,motorcycle,0.42,automobile,0.5238095238095238
Vanilla,near,pickup_truck,0.91,automobile,0.6703296703296703
Vanilla,near,tractor,0.63,truck,0.8571428571428571
Vanilla,near,wolf,0.79,cat,0.4810126582278481
Vanilla,far,bottle,0.45,cat,0.4
Vanilla,far,bowl,0.52,cat,0.36538461538461536
Vanilla,far,chair,0.43,airplane,0.627906976744186
Vanilla,far,clock,0.49,cat,0.2653061224489796
Vanilla,far,keyboard,0.45,airplane,0.26666666666666666
Vanilla,far,mushroom,0.57,bird,0.43859649122807015
Vanilla,far,sunflower,0.58,bird,0.5344827586206896
Vanilla,far,wardrobe,0.79,cat,0.6455696202531646
GCSC,near,bus,0.81,truck,0.8395061728395061
GCSC,near,camel,0.56,dog,0.2857142857142857
GCSC,near,fox,0.7,cat,0.37142857142857144
GCSC,near,leopard,0.58,cat,0.5344827586206896
GCSC,near,motorcycle,0.32,truck,0.53125
GCSC,near,pickup_truck,0.91,automobile,0.6703296703296703
GCSC,near,tractor,0.58,truck,0.8620689655172413
GCSC,near,wolf,0.76,dog,0.4605263157894737
GCSC,far,bottle,0.31,cat,0.3548387096774194
GCSC,far,bowl,0.39,cat,0.28205128205128205
GCSC,far,chair,0.38,cat,0.2894736842105263
GCSC,far,clock,0.4,cat,0.4
GCSC,far,keyboard,0.4,cat,0.325
GCSC,far,mushroom,0.47,bird,0.46808510638297873
GCSC,far,sunflower,0.37,dog,0.4594594594594595
GCSC,far,wardrobe,0.79,truck,0.569620253164557
PROSER,near,bus,0.85,truck,0.7764705882352941
PROSER,near,camel,0.54,horse,0.2777777777777778
PROSER,near,fox,0.67,cat,0.3582089552238806
PROSER,near,leopard,0.77,cat,0.4675324675324675
PROSER,near,motorcycle,0.54,automobile,0.5555555555555556
PROSER,near,pickup_truck,0.93,automobile,0.6666666666666666
PROSER,near,tractor,0.7,truck,0.8285714285714286
PROSER,near,wolf,0.73,cat,0.5753424657534246
PROSER,far,bottle,0.55,cat,0.41818181818181815
PROSER,far,bowl,0.58,cat,0.3448275862068966
PROSER,far,chair,0.56,airplane,0.4107142857142857
PROSER,far,clock,0.54,automobile,0.37037037037037035
PROSER,far,keyboard,0.64,truck,0.28125
PROSER,far,mushroom,0.65,bird,0.4461538461538462
PROSER,far,sunflower,0.64,bird,0.5
PROSER,far,wardrobe,0.82,cat,0.573170731707317
