group,official_test_index,fine_label,class_name
near,6,15,camel
near,17,97,wolf
near,36,58,pickup_truck
near,47,58,pickup_truck
near,58,42,leopard
near,62,15,camel
near,85,89,tractor
near,94,13,bus
near,149,58,pickup_truck
near,150,58,pickup_truck
near,156,58,pickup_truck
near,193,13,bus
near,196,58,pickup_truck
near,214,97,wolf
near,230,89,tractor
near,242,34,fox
near,255,97,wolf
near,256,58,pickup_truck
near,259,42,leopard
near,262,89,tractor
near,274,42,leopard
near,283,89,tractor
near,288,42,leopard
near,299,89,tractor
near,313,42,leopard
near,317,15,camel
near,321,89,tractor
near,338,34,fox
near,351,34,fox
near,353,58,pickup_truck
near,354,48,motorcycle
near,366,89,tractor
near,409,89,tractor
near,425,42,leopard
near,460,58,pickup_truck
near,471,97,wolf
near,477,42,leopard
near,498,89,tractor
near,507,58,pickup_truck
near,540,15,camel
near,555,42,leopard
near,578,58,pickup_truck
near,615,48,motorcycle
near,619,13,bus
near,626,48,motorcycle
near,632,97,wolf
near,650,15,camel
near,652,89,tractor
near,653,97,wolf
near,669,34,fox
near,684,97,wolf
near,702,42,leopard
near,712,97,wolf
near,717,15,camel
near,720,97,wolf
near,751,15,camel
near,752,48,motorcycle
near,766,13,bus
near,769,15,camel
near,790,48,motorcycle
near,796,58,pickup_truck
near,803,58,pickup_truck
near,809,97,wolf
near,811,15,camel
near,822,13,bus
near,897,97,wolf
near,900,15,camel
near,902,15,camel
near,915,15,camel
near,921,89,tractor
near,923,48,motorcycle
near,939,97,wolf
near,945,42,leopard
near,952,42,leopard
near,957,13,bus
near,959,34,fox
near,969,34,fox
near,992,15,camel
near,995,89,tractor
near,1023,48,motorcycle
near,1026,97,wolf
near,1034,13,bus
near,1060,15,camel
near,1081,89,tractor
near,1084,42,leopard
near,1085,15,camel
near,1096,48,motorcycle
near,1133,34,fox
near,1143,13,bus
near,1145,58,pickup_truck
near,1155,58,pickup_truck
near,1181,89,tractor
near,1184,15,camel
near,1212,58,pickup_truck
near,1218,48,motorcycle
near,1227,34,fox
near,1260,89,tractor
near,1261,89,tractor
near,1271,13,bus
near,1320,34,fox
near,1321,48,motorcycle
near,1324,42,leopard
near,1327,58,pickup_truck
near,1328,42,leopard
near,1345,97,wolf
near,1403,34,fox
near,1404,48,motorcycle
near,1423,15,camel
near,1425,34,fox
near,1427,13,bus
near,1432,34,fox
near,1445,13,bus
near,1463,48,motorcycle
near,1464,48,motorcycle
near,1478,13,bus
near,1489,13,bus
near,1491,58,pickup_truck
near,1498,34,fox
near,1510,15,camel
near,1519,97,wolf
near,1568,58,pickup_truck
near,1570,42,leopard
near,1572,15,camel
near,1573,15,camel
near,1588,15,camel
near,1607,42,leopard
near,1616,13,bus
near,1620,42,leopard
near,1645,34,fox
near,1662,13,bus
near,1671,48,motorcycle
near,1687,15,camel
near,1698,34,fox
near,1752,97,wolf
near,1753,89,tractor
near,1771,42,leopard
near,1783,34,fox
near,1799,34,fox
near,1812,48,motorcycle
near,1829,48,motorcycle
near,1843,42,leopard
near,1864,89,tractor
near,1881,89,tractor
near,1882,15,camel
near,1889,13,bus
near,1913,58,pickup_truck
near,1937,97,wolf
near,1976,89,tractor
near,1985,13,bus
near,1994,42,leopard
near,2012,58,pickup_truck
near,2019,13,bus
near,2029,89,tractor
near,2033,48,motorcycle
near,2051,15,camel
near,2064,97,wolf
near,2066,48,motorcycle
near,2072,48,motorcycle
near,2082,48,motorcycle
near,2100,58,pickup_truck
near,2101,89,tractor
near,2102,97,wolf
near,2123,89,tractor
near,2131,34,fox
near,2144,89,tractor
near,2145,15,camel
near,2148,48,motorcycle
near,2171,89,tractor
near,2203,13,bus
near,2211,42,leopard
near,2219,97,wolf
near,2242,48,motorcycle
near,2267,15,camel
near,2315,15,camel
near,2321,58,pickup_truck
near,2336,34,fox
near,2337,97,wolf
near,2340,97,wolf
near,2349,34,fox
near,2356,34,fox
near,2396,58,pickup_truck
near,2415,15,camel
near,2421,58,pickup_truck
near,2435,34,fox
near,2484,13,bus
near,2503,89,tractor
near,2518,34,fox
near,2544,34,fox
near,2556,58,pickup_truck
near,2569,89,tractor
near,2570,42,leopard
near,2591,13,bus
near,2603,58,pickup_truck
near,2618,97,wolf
near,2624,89,tractor
near,2647,42,leopard
near,2665,13,bus
near,2675,89,tractor
near,2678,42,leopard
near,2698,13,bus
near,2712,15,camel
near,2719,13,bus
near,2756,34,fox
near,2774,15,camel
near,2826,97,wolf
near,2828,34,fox
near,2832,13,bus
near,2834,15,camel
near,2835,97,wolf
near,2842,97,wolf
near,2843,13,bus
near,2871,89,tractor
near,2882,58,pickup_truck
near,2891,34,fox
near,2911,89,tractor
near,2933,97,wolf
near,2946,15,camel
near,2948,15,camel
near,2956,89,tractor
near,2986,97,wolf
near,2992,89,tractor
near,3009,42,leopard
near,3026,13,bus
near,3027,48,motorcycle
near,3054,48,motorcycle
near,3074,42,leopard
near,3104,42,leopard
near,3106,13,bus
near,3111,48,motorcycle
near,3136,34,fox
near,3153,15,camel
near,3177,89,tractor
near,3197,13,bus
near,3200,42,leopard
near,3219,97,wolf
near,3236,13,bus
near,3240,48,motorcycle
near,3256,48,motorcycle
near,3276,13,bus
near,3291,42,leopard
near,3319,15,camel
near,3338,42,leopard
near,3346,42,leopard
near,3368,34,fox
near,3376,48,motorcycle
near,3379,42,leopard
near,3412,89,tractor
near,3478,13,bus
near,3484,89,tractor
near,3487,97,wolf
near,3525,48,motorcycle
near,3532,89,tractor
near,3537,58,pickup_truck
near,3538,97,wolf
near,3549,42,leopard
near,3558,48,motorcycle
near,3564,13,bus
near,3567,42,leopard
near,3605,34,fox
near,3606,48,motorcycle
near,3607,34,fox
near,3608,34,fox
near,3613,97,wolf
