split,identifier,class_name,predicted_known_class,score_a,score_b,value_a,value_b,percentile_a,percentile_b,absolute_rank_gap
known_test,cifar10_test:6723,dog,dog,Energy,Mahalanobis,-12.60591983795166,3684.79296875,0.002586206896551724,0.9534482758620689,0.9508620689655172
known_test,cifar10_test:6723,dog,dog,MLS,Mahalanobis,-12.605887413024902,3684.79296875,0.002586206896551724,0.9534482758620689,0.9508620689655172
known_test,cifar10_test:6723,dog,dog,MSP,Mahalanobis,3.2782554626464844e-05,3684.79296875,0.01439655172413793,0.9534482758620689,0.939051724137931
known_test,cifar10_test:9887,dog,dog,Energy,Mahalanobis,-12.504916191101074,3519.83984375,0.003793103448275862,0.9425,0.9387068965517241
known_test,cifar10_test:9887,dog,dog,MLS,Mahalanobis,-12.504874229431152,3519.83984375,0.003793103448275862,0.9425,0.9387068965517241
known_test,cifar10_test:9887,dog,dog,MSP,Mahalanobis,4.2438507080078125e-05,3519.83984375,0.023836206896551724,0.9425,0.9186637931034483
known_test,cifar10_test:6554,dog,dog,Energy,Mahalanobis,-13.454967498779297,2833.697265625,0.0005172413793103448,0.8905172413793103,0.89
known_test,cifar10_test:6554,dog,dog,MLS,Mahalanobis,-13.454960823059082,2833.697265625,0.0005172413793103448,0.8905172413793103,0.89
known_test,cifar10_test:6554,dog,dog,MSP,Mahalanobis,6.318092346191406e-06,2833.697265625,0.0007327586206896552,0.8905172413793103,0.8897844827586207
far,cifar100_test:9795,bowl,airplane,MLS,Mahalanobis,-10.964070320129395,3236.6025390625,0.055,0.9207758620689656,0.8657758620689655
far,cifar100_test:9795,bowl,airplane,Energy,Mahalanobis,-10.964411735534668,3236.6025390625,0.055,0.9207758620689656,0.8657758620689655
known_test,cifar10_test:4915,dog,dog,MSP,Mahalanobis,1.9073486328125e-06,2465.91748046875,0.00017241379310344826,0.8631896551724138,0.8630172413793104
known_test,cifar10_test:4915,dog,dog,Energy,Mahalanobis,-14.207802772521973,2465.91748046875,0.00017241379310344826,0.8631896551724138,0.8630172413793104
known_test,cifar10_test:4915,dog,dog,MLS,Mahalanobis,-14.20780086517334,2465.91748046875,0.00017241379310344826,0.8631896551724138,0.8630172413793104
known_test,cifar10_test:3139,bird,bird,MSP,Mahalanobis,2.7298927307128906e-05,2196.288330078125,0.010474137931034484,0.8406034482758621,0.8301293103448276
known_test,cifar10_test:5830,dog,cat,MSP,Energy,0.0026510953903198242,-11.19627571105957,0.7068965517241379,0.03681034482758621,0.6700862068965517
known_test,cifar10_test:5830,dog,cat,MSP,MLS,0.0026510953903198242,-11.193620681762695,0.7068965517241379,0.03689655172413793,0.6699999999999999
known_test,cifar10_test:4495,cat,cat,MSP,Energy,0.01952415704727173,-10.068967819213867,0.8162068965517242,0.21008620689655172,0.6061206896551725
known_test,cifar10_test:4303,dog,dog,MSP,Energy,0.0032097697257995605,-10.505316734313965,0.7206896551724138,0.1146551724137931,0.6060344827586207
known_test,cifar10_test:4303,dog,dog,MSP,MLS,0.0032097697257995605,-10.50210189819336,0.7206896551724138,0.11508620689655172,0.6056034482758621
known_test,cifar10_test:2689,dog,dog,MSP,MLS,0.0019450187683105469,-10.748163223266602,0.6831896551724138,0.08008620689655173,0.603103448275862
known_test,cifar10_test:2689,dog,dog,MSP,Energy,0.0019450187683105469,-10.750110626220703,0.6831896551724138,0.08008620689655173,0.603103448275862
known_test,cifar10_test:4495,cat,cat,MSP,MLS,0.01952415704727173,-10.049250602722168,0.8162068965517242,0.21612068965517242,0.6000862068965518
known_test,cifar10_test:8925,airplane,airplane,MSP,Energy,0.001158297061920166,-10.877067565917969,0.6312068965517241,0.06422413793103449,0.5669827586206897
known_test,cifar10_test:8925,airplane,airplane,MSP,MLS,0.001158297061920166,-10.875908851623535,0.6312068965517241,0.06439655172413793,0.5668103448275862
known_test,cifar10_test:412,cat,dog,MLS,Energy,-8.618766784667969,-8.932455062866211,0.6451724137931034,0.5742241379310344,0.07094827586206898
known_test,cifar10_test:61,cat,cat,MLS,Energy,-7.774670600891113,-8.295247077941895,0.766896551724138,0.7036206896551724,0.06327586206896552
known_test,cifar10_test:2823,cat,cat,MLS,Energy,-8.098018646240234,-8.48794937133789,0.732844827586207,0.6715517241379311,0.061293103448275876
known_test,cifar10_test:7493,dog,cat,MLS,Energy,-7.185780048370361,-7.816521644592285,0.8165517241379311,0.7642241379310345,0.05232758620689659
known_test,cifar10_test:5881,cat,dog,MLS,Energy,-7.275850296020508,-7.879818916320801,0.8092241379310345,0.7587931034482759,0.05043103448275865
